# Program:featureCounts v2.0.8; Command:"featureCounts" "-p" "-T" "5" "--countReadPairs" "-t" "exon" "-g" "Parent" "-a" "strongyloides_stercoralis.PRJEB528.WBPS19.annotations.gff3" "-o" "counts.txt" "ERR146941" "ERR146942" "ERR146943" "ERR146944" "ERR146945" "ERR146946" "ERR146947" "ERR146948" "ERR146949" "ERR146950" "ERR146951" "ERR146952" "ERR146953" "ERR146954" "ERR146955" "ERR146956" "ERR146957" "ERR146958" "ERR146959" "ERR146960" "ERR146961" 
Geneid	Chr	Start	End	Strand	Length	ERR146941	ERR146942	ERR146943	ERR146944	ERR146945	ERR146946	ERR146947	ERR146948	ERR146949	ERR146950	ERR146951	ERR146952	ERR146953	ERR146954	ERR146955	ERR146956	ERR146957	ERR146958	ERR146959	ERR146960	ERR146961
SSTP_0000118500.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1243165;1244005	1243964;1244143	-;-	939	2147	1745	1863	1617	1537	1607	336	729	690	706	908	1060	1385	1455	1171	1120	947	1075	1457	1416	1469
SSTP_0000118600.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1244353;1244445	1244398;1245292	+;+	894	3105	2774	2748	2644	2265	2342	749	1102	1372	1300	1740	1886	2683	2180	2194	1845	1488	1824	2635	2443	2580
SSTP_0000118700.1	SSTP_scaffold0000001	1245336	1246493	-	1158	209	178	236	253	165	186	56	139	94	214	284	298	440	291	274	115	114	139	226	232	255
SSTP_0000118800.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1247113;1247264	1247221;1248132	+;+	978	8208	7204	7983	255	272	268	115	128	96	1751	2793	2945	3459	2471	3234	966	911	1063	3975	3819	3887
SSTP_0000118900.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1248320;1248413	1248369;1249652	+;+	1290	4589	4103	4292	1610	1503	1481	502	758	697	1332	1960	1980	2492	2032	2175	1512	1318	1662	3524	3193	3378
SSTP_0000119000.1	SSTP_scaffold0000001	1251097	1252779	+	1683	11579	10406	10420	3287	2989	3054	692	1344	1264	2091	2704	2825	5169	3817	3826	3283	2700	3189	3892	3856	4079
SSTP_0000119100.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	1253031;1253436;1254262;1254701;1255339	1253288;1254012;1254633;1254705;1255341	-;-;-;-;-	1215	235010	239542	208626	65621	60852	64732	26641	16829	21208	240409	278363	294132	433490	391254	373855	235521	236130	258573	93816	89327	95393
SSTP_0000119200.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	1260188;1260408;1260950	1260361;1260891;1263747	+;+;+	3456	7384	6676	6956	12048	11212	11167	28276	21237	25048	8304	7908	8936	7108	6521	7322	4943	4817	5277	7920	7462	7873
SSTP_0000119300.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	1265304;1265476;1265649;1265827;1266015	1265428;1265594;1265772;1265964;1266597	+;+;+;+;+	1089	97	126	154	708	494	624	3794	445	330	1065	455	803	301	1423	1706	493	776	289	672	391	980
SSTP_0000119400.1	SSTP_scaffold0000001	1266714	1268354	-	1641	1920	955	1215	8837	6709	8201	45320	400	178	12196	9365	15047	9705	13714	18831	5006	5494	5563	1919	1790	1742
SSTP_0000119500.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	1269380;1269898;1270785	1269851;1270735;1271025	-;-;-	1551	2135	2044	2248	707	711	689	328	248	264	722	794	811	802	667	846	524	373	541	1903	1901	1987
SSTP_0000119600.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	1271187;1271283;1271348;1271429	1271191;1271306;1271383;1273628	+;+;+;+	2265	7011	7726	7775	788	750	835	814	280	327	1817	2297	2567	1989	1862	2374	1328	1053	1258	5625	5411	5916
SSTP_0000119700.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1273678;1273878	1273836;1277231	-;-	3513	2856	2618	2660	3195	2999	3232	1718	1326	1795	2252	2372	2919	3204	2729	2941	1954	1597	1847	2198	1902	2070
SSTP_0000119800.1	SSTP_scaffold0000001	1277369	1278751	-	1383	3126	2722	2904	3017	2681	2836	1335	2521	2893	1818	2083	2254	2404	2078	2134	1221	1038	1133	2300	2340	2462
SSTP_0000119900.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	1279306;1279519;1279674;1280637;1281482	1279461;1279613;1279880;1281445;1281966	-;-;-;-;-	1752	1002	876	917	648	594	645	293	244	236	686	824	933	1078	967	870	541	404	574	1070	1043	1120
SSTP_0000120000.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	1283464;1283738;1283943;1284377;1284513;1284737	1283685;1283896;1284185;1284467;1284688;1285792	+;+;+;+;+;+	1947	5871	4776	4574	10488	9498	9984	6400	7319	8558	3447	4106	5159	5067	4260	4404	2872	2392	3144	3614	3451	3766
SSTP_0000120100.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	1286071;1286826;1287049;1288267	1286765;1286999;1287837;1288864	-;-;-;-	2256	358	418	365	1057	875	1020	571	205	287	2153	1897	2185	1755	1957	2930	959	1094	1088	343	301	348
SSTP_0000120200.1	SSTP_scaffold0000001	1290533	1291609	+	1077	898	701	751	1072	929	995	360	190	223	935	973	1107	1216	1068	1392	639	581	670	178	138	154
SSTP_0000120300.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1291728;1291792	1291734;1292129	-;-	345	33	39	35	364	346	356	320	142	141	122	100	136	79	62	84	70	56	53	111	116	118
SSTP_0000120400.1	SSTP_scaffold0000001	1293435	1293926	+	492	43	40	42	2249	1510	1806	43	37	47	35	25	21	53	41	46	26	33	33	135	186	206
SSTP_0000120500.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1294170;1294603	1294563;1294676	+;+	468	2589	2452	2342	5487	5242	5384	4587	5442	5043	3392	3608	3805	4347	3504	3705	2072	2087	2140	2293	2300	2140
SSTP_0000120600.1	SSTP_scaffold0000001	1295189	1295509	+	321	16	21	25	9219	8552	9729	35716	38024	30236	188	200	268	150	100	79	22	30	32	21	32	45
SSTP_0000120700.1	SSTP_scaffold0000001	1296465	1296935	+	471	1143	3201	2826	370	523	517	33584	23131	15542	4	6	72	2	2	2	32	8	6	1831	1759	2614
SSTP_0000120800.1	SSTP_scaffold0000001	1298227	1298637	+	411	9	9	12	208	138	155	963	840	792	39	24	51	4	16	17	14	7	12	16	18	13
SSTP_0000120900.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	1299564;1299972;1301650	1299929;1301596;1301776	-;-;-	2118	47	53	57	62	64	67	107	57	84	4224	2212	2984	1177	2355	5030	729	946	633	25	25	30
SSTP_0000121000.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1302879;1304403	1304354;1304600	-;-	1674	10312	7933	10650	4394	4109	4247	824	775	959	6854	9720	10221	16173	12270	13017	6402	6088	6707	5295	5304	5645
SSTP_0000121100.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1306321;1306488	1306443;1307003	+;+	639	7597	5703	6089	30830	28228	29930	4375	5076	4833	5376	7169	8225	8910	7520	7608	4581	4726	5653	8305	8365	8579
SSTP_0000121200.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1307060;1307855	1307814;1308023	-;-	924	2093	1615	1672	3142	2788	2953	1280	1193	1269	1687	1823	1915	1992	1576	1550	1099	1174	1305	1003	1006	1050
SSTP_0000121300.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	1308838;1308906;1309110;1310029;1310293;1310554	1308871;1309046;1309544;1310139;1310508;1311527	+;+;+;+;+;+	1911	2158	1830	1826	4865	3977	4810	1719	1209	1271	2142	2697	2904	3616	2925	3347	1420	1403	1752	981	885	925
SSTP_0000121400.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1311921;1312120	1312073;1312278	+;+	312	152	237	179	5076	5063	5179	3854	3334	2719	2323	1585	1863	1313	1612	1321	535	548	450	111	109	113
SSTP_0000121500.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1313540;1313643	1313602;1314053	+;+	474	326	273	283	659	620	554	694	195	211	641	737	917	1228	790	486	659	597	969	167	158	139
SSTP_0000121600.1	SSTP_scaffold0000001	1314190	1315188	-	999	11589	10382	9956	6778	6406	6506	1218	3668	2966	6056	7150	7237	17227	14399	12501	7877	7876	8342	6152	6130	5968
SSTP_0000121700.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1315393;1315534	1315486;1315997	+;+	558	4644	4334	4412	1746	1696	1743	621	938	903	1094	1393	1511	1620	1487	1423	1187	1073	1281	2566	2531	2551
SSTP_0000121800.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1316152;1316397	1316360;1317498	+;+	1311	3219	2984	3037	1984	1835	1902	411	659	780	1210	1592	1700	2636	2320	2178	2078	1663	1885	2638	2589	2684
SSTP_0000121900.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	1317692;1317794;1318021;1318508;1318966;1320171;1321149;1321359;1322558	1317752;1317971;1318061;1318928;1320117;1320430;1321320;1322507;1322900	+;+;+;+;+;+;+;+;+	3777	5774	6219	5756	8336	8183	7866	12291	17547	14078	7959	9816	9742	8377	7831	8732	4505	4896	5285	6027	5717	5929
SSTP_0000122000.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	1323066;1323728;1324083;1324747;1325020;1325210;1325461;1325661	1323681;1324029;1324214;1324971;1325168;1325293;1325620;1325720	-;-;-;-;-;-;-;-	1728	1683	1444	1449	2286	2416	2459	985	549	772	2644	2765	3246	2356	2069	2170	1547	1606	1627	1761	1896	1928
SSTP_0000122100.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1328200;1328761	1328718;1329375	+;+	1134	185	193	230	702	720	780	253	183	214	524	598	723	353	315	355	671	483	623	362	375	398
SSTP_0000122200.1	SSTP_scaffold0000001	1329859	1330878	+	1020	3	5	1	21	8	16	15	8	9	25	20	17	14	21	30	11	8	7	3	5	1
SSTP_0000122300.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1332596;1333095	1333054;1333679	+;+	1044	11	17	17	11	10	7	347	21	24	954	360	522	145	629	1048	335	502	155	17	12	14
SSTP_0000122400.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1334709;1334833	1334787;1337042	+;+	2289	8411	7719	8123	1919	1754	1852	879	716	805	3034	3773	4120	5862	4398	4678	3149	2904	3334	4446	4318	4659
SSTP_0000122500.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1337231;1337450	1337413;1337653	+;+	387	829	736	712	284	285	247	133	66	128	360	505	580	721	480	506	239	267	360	154	194	212
SSTP_0000122600.1	SSTP_scaffold0000001	1337840	1339444	-	1605	881	1141	893	3957	3477	3734	2631	4606	5436	3499	3548	3670	2502	2361	2379	1436	1467	1460	691	612	709
SSTP_0000122700.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1346223;1347796	1347746;1347909	-;-	1638	44363	41014	39930	18355	16360	17621	6110	18448	14566	28915	26980	29222	40270	32655	30785	27336	25446	29669	21925	22404	24267
SSTP_0000122800.1	SSTP_scaffold0000001	1348235	1350610	-	2376	2556	2094	2242	3002	2652	2934	673	1108	1266	1290	1544	1705	2279	2063	1935	1080	961	1110	2425	2337	2460
SSTP_0000122900.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1351055;1351245	1351197;1351524	+;+	423	83997	81010	71228	38814	33512	35794	22146	21018	22383	103734	119136	122794	179835	161730	158368	96683	97441	102845	40527	40043	39765
SSTP_0000123000.1	SSTP_scaffold0000001	1352646	1353716	+	1071	264	285	301	756	639	671	551	845	914	156	234	297	333	271	307	190	144	211	115	136	140
SSTP_0000123100.1	SSTP_scaffold0000001	1354774	1355550	+	777	978	803	714	12	11	5	417	2	1	1053	1172	1216	832	471	273	3460	2111	3852	4	3	5
SSTP_0000123200.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	1356707;1356842;1357673;1357876;1358049	1356794;1357091;1357678;1357979;1358602	+;+;+;+;+	1002	16795	16395	15869	17955	15907	17109	10874	13711	11715	10106	9760	10887	10970	10298	10134	6056	5664	6546	10257	10123	10572
SSTP_0000123300.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	1359088;1361486;1363769	1360938;1361560;1363894	-;-;-	2052	202	237	279	847	708	803	259	231	291	1022	1312	1397	1582	919	1023	353	441	335	64	62	59
SSTP_0000123400.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	1368112;1368249;1368765	1368204;1368577;1370835	+;+;+	2493	981	1589	1316	997	786	917	820	683	1002	4319	2288	3224	981	3180	1338	1045	2049	785	186	144	107
SSTP_0000123500.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1371298;1371870	1371834;1372109	+;+	777	13	12	6	287	253	324	57	50	42	64	63	70	25	28	26	28	26	28	8	6	7
SSTP_0000123600.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1373297;1374925	1374880;1375065	-;-	1725	837	966	933	5090	4957	5082	4466	2824	3246	5123	5095	5842	3507	3588	4005	1864	1881	1875	194	227	242
SSTP_0000123700.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	1378406;1381156;1381373	1380313;1381163;1381601	-;-;-	2145	26422	28997	27412	1820	1842	1942	553	494	466	1597	2045	1869	4160	3094	3054	14290	10231	14772	11285	11615	12448
SSTP_0000123800.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	1381751;1381814;1381958;1382353	1381772;1381906;1382314;1383500	+;+;+;+	1620	10430	11911	12856	622	686	713	191	211	219	1340	1698	1586	2077	1576	1919	2515	1816	2588	6174	6563	7261
SSTP_0000123900.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1383697;1383982	1383941;1385134	+;+	1398	19	27	26	17	37	20	29	3	24	134	147	135	56	42	25	66	30	41	36	25	33
SSTP_0000124000.1	SSTP_scaffold0000001	1385273	1385857	-	585	5	5	5	0	4	4	5	16	20	2	3	0	3	0	1	39	6	38	0	1	0
SSTP_0000124100.1	SSTP_scaffold0000001	1386001	1386906	-	906	5108	9144	6642	2956	2581	2296	16207	18831	20113	17415	13963	14394	7653	6580	6826	10097	9163	12250	1202	1179	1013
SSTP_0000124200.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	1388166;1388756;1389412	1388705;1389336;1389439	-;-;-	1149	4360	4140	4218	3295	3040	2989	454	606	669	3271	5192	4816	4352	2848	2737	3279	3011	3956	3382	3500	3626
SSTP_0000124300.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	1389553;1389640;1390454	1389578;1390411;1390489	-;-;-	834	1826	1792	1658	2204	2075	2057	326	925	847	786	1057	1032	2256	1778	1572	1765	1398	1662	1807	1988	2069
SSTP_0000124400.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	1390938;1391371;1391629	1391310;1391584;1392322	+;+;+	1281	1524	1585	1581	1286	1117	1210	161	306	337	485	585	598	1351	1167	1037	1154	903	1135	1252	1233	1254
SSTP_0000124500.1	SSTP_scaffold0000001	1392475	1393455	+	981	4928	4856	5244	971	921	942	256	391	379	863	985	1022	1209	1075	1037	1145	852	1096	3024	2967	3173
SSTP_0000124600.1	SSTP_scaffold0000001	1393673	1396084	+	2412	2350	2604	2396	1170	1146	1205	250	347	380	926	971	1113	2522	1881	1636	1788	1464	1714	1432	1478	1488
SSTP_0000124700.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1396265;1396750	1396708;1396872	-;-	567	40	27	33	512	490	493	521	562	751	108	125	140	76	87	82	48	35	40	13	7	12
SSTP_0000124800.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1399455;1400525	1399734;1401699	+;+	1455	66	76	58	784	652	712	2244	1709	3237	965	949	1044	921	934	1203	484	495	553	49	32	46
SSTP_0000124900.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	1401762;1405644;1406089	1405602;1406038;1406112	-;-;-	4260	6246	4289	7128	956	881	837	140	116	344	6885	10783	10761	15599	11217	14518	2667	3029	2484	672	708	707
SSTP_0000125000.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	1406523;1409614;1409728	1409576;1409691;1409772	-;-;-	3177	29899	28248	28497	12295	11590	11800	4207	6239	7759	6689	8606	8833	16192	10833	11991	4962	4504	5170	12266	12173	13083
SSTP_0000125100.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1410554;1411215	1411174;1413950	-;-	3357	3005	3338	2697	4096	3908	3817	1148	1993	4098	1262	1728	1795	4099	4044	3170	2410	2184	2436	3779	4097	4099
SSTP_0000125200.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1415239;1415327	1415284;1416024	+;+	744	355	291	257	520	510	502	354	430	750	188	216	303	544	534	435	381	342	328	242	184	186
SSTP_0000125300.1	SSTP_scaffold0000001	1416073	1417014	-	942	305	311	334	1370	1239	1326	977	1155	1007	796	834	844	664	537	658	355	327	332	427	382	481
SSTP_0000125400.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1419552;1419615	1419566;1421027	+;+	1428	3619	4656	4147	916	449	757	134	59	67	1673	1638	1699	1138	1001	1256	1711	848	1093	1180	1172	1145
SSTP_0000125500.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	1421250;1421431;1422143	1421381;1422043;1422468	-;-;-	1071	11	7	39	1	3	5	0	0	1	2	1	0	8	0	1	123	61	160	2	2	3
SSTP_0000125600.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1422827;1423389	1423345;1423799	+;+	930	10	12	15	10	14	11	10	0	5	4	1	1	5	3	4	50	11	49	0	1	2
SSTP_0000125700.1	SSTP_scaffold0000001	1424340	1424897	+	558	104	195	180	35	19	24	0	0	0	2	0	1	3	10	9	174	92	163	17	20	22
SSTP_0000125800.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	1425148;1425708;1426265;1426923	1425663;1426220;1426870;1426976	-;-;-;-	1689	120	118	105	425	500	553	1295	326	200	976	1014	1244	808	601	812	743	594	596	46	34	39
SSTP_0000125900.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	1428328;1428477;1429064;1429670	1428436;1429009;1429624;1430185	+;+;+;+	1719	299	376	349	1954	1837	1754	590	825	1048	1660	2022	2056	1780	1663	1764	943	852	925	128	133	156
SSTP_0000126000.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1430369;1430889	1430839;1431101	-;-	684	1954	1758	1810	819	716	681	247	385	431	227	329	415	562	497	471	318	269	345	1087	1114	1113
SSTP_0000126100.1	SSTP_scaffold0000001	1431971	1433062	+	1092	11044	8975	8000	6767	7166	7232	9275	2033	2955	13248	16952	20177	15439	11234	11819	8806	9793	10787	5719	5949	6170
SSTP_0000126200.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1433299;1434743	1434697;1436709	+;+	3366	234	261	273	151	163	185	39	21	50	290	222	211	297	207	217	494	245	522	66	59	49
SSTP_0000126300.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1437153;1437349	1437302;1437759	+;+	561	1720	1583	1573	1071	1077	1032	159	268	302	537	767	832	1263	1011	930	808	711	871	1299	1264	1218
SSTP_0000126400.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1437788;1438457	1438417;1440088	-;-	2262	965	831	1007	288	312	330	71	45	89	278	325	338	538	338	330	423	378	436	1088	1111	1101
SSTP_0000126500.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1440497;1440905	1440867;1441223	-;-	690	845	698	829	202	151	163	59	32	55	158	173	175	210	149	155	281	182	266	841	837	866
SSTP_0000126600.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1441745;1441897	1441844;1442351	+;+	555	532	404	458	230	187	212	2427	40	34	4161	7825	10966	12398	9411	9972	3592	4057	5441	232	255	275
SSTP_0000126700.1	SSTP_scaffold0000001	1443424	1445199	+	1776	20945	18870	19208	14519	12810	14526	4215	5477	5325	12091	15196	17069	17104	14489	12891	9127	8846	10804	14939	16325	18691
SSTP_0000126800.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1445377;1446790	1445809;1446833	-;-	477	6	6	4	36	37	42	283	81	132	37	28	45	61	33	67	35	17	10	10	6	9
SSTP_0000126900.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1446917;1447062	1447011;1447377	-;-	411	395	396	440	702	540	593	1146	551	568	2496	2150	2234	1444	1478	1653	1314	1072	1456	382	433	480
SSTP_0000127000.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	1448642;1449318;1449463;1449825;1450561;1452199;1452517	1448664;1449417;1449776;1450177;1450579;1452403;1452642	+;+;+;+;+;+;+	1140	1031	1186	1083	5173	4837	5369	12371	7745	11865	2502	2372	2822	1391	1788	1286	1986	2267	2364	241	203	257
SSTP_0000127100.1	SSTP_scaffold0000001	1456059	1457348	-	1290	1180	1358	1242	273	236	222	2821	204	296	50430	48816	56657	33009	44675	84290	13755	13665	16108	774	725	837
SSTP_0000127200.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1458757;1458916	1458876;1461741	+;+	2946	8470	7112	7660	2181	2153	1989	348	382	618	1681	2326	2464	4335	3477	3772	2754	2481	2845	3131	3213	3372
SSTP_0000127300.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	1462159;1462255;1462349	1462212;1462308;1463224	+;+;+	984	3456	3000	3277	1558	1494	1524	365	697	690	885	1146	1283	1585	1242	1336	1060	868	1039	3216	3179	3431
SSTP_0000127400.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	1463488;1463969;1464634	1463932;1464597;1464843	-;-;-	1284	1852	1613	1584	536	475	534	43	67	150	272	332	375	1354	1033	753	944	736	809	1294	1150	1210
SSTP_0000127500.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1465007;1465365	1465317;1465509	-;-	456	85559	79513	71372	31038	27778	29288	10924	6125	6447	83599	90918	101231	149864	127356	128255	85197	87843	94181	39879	39495	39665
SSTP_0000127600.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	1465939;1466057;1466281	1466013;1466229;1466992	+;+;+	960	2621	2446	2393	3332	2965	3123	1049	1687	1751	1533	1797	2030	3200	3710	2617	1583	1579	1709	1716	1457	1602
SSTP_0000127700.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1467096;1467345	1467295;1467462	+;+	318	45376	46433	40316	24627	22214	22951	6391	7773	7447	52753	58691	63607	94497	86497	81607	50549	53647	54722	22890	23651	22792
SSTP_0000127800.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1467642;1467865	1467818;1468110	+;+	423	7043	6179	5818	4606	4627	4720	2604	1679	2016	3969	4700	5563	4273	3864	3973	3384	3621	3960	3959	3466	3395
SSTP_0000127900.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	1468456;1469179;1469755;1470483;1471130	1469129;1469700;1470350;1470502;1471159	-;-;-;-;-	1842	4408	4579	4295	2729	2262	2398	916	704	1044	2243	2827	3661	4327	3504	4157	2604	2141	2946	3350	3236	3546
SSTP_0000128000.1	SSTP_scaffold0000001	1473443	1474042	+	600	15	23	27	21	14	18	66	6	7	12374	2612	4955	794	6051	6434	3265	5340	1335	10	30	28
SSTP_0000128050.1	SSTP_scaffold0000001	1474790	1475269	-	480	57	62	98	135	97	141	25	34	43	65	88	105	100	91	117	109	51	84	46	56	42
SSTP_0000128100.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1476346;1476427	1476380;1477168	+;+	777	606	535	635	252	248	241	32	64	66	331	472	545	875	603	669	397	368	405	317	266	269
SSTP_0000128200.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	1477715;1477852;1480299;1481519;1481828	1477792;1480206;1481481;1481759;1481975	+;+;+;+;+	4005	82	120	108	104	65	89	2554	141	256	7869	4888	7125	4112	9702	15001	3167	3224	2996	20	29	25
SSTP_0000128300.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	1482341;1482549;1484475	1482499;1484167;1484544	-;-;-	1848	3851	4817	4593	6104	5230	5457	3579	3274	3511	6952	6743	6890	3756	4165	4314	1976	1907	2075	3550	3390	3427
SSTP_0000128400.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1484797;1484923	1484877;1486704	+;+	1863	52	38	44	242	174	185	35	39	68	93	81	81	102	78	92	38	28	24	108	97	123
SSTP_0000128500.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1486707;1486962	1486910;1487177	-;-	420	875	1138	1037	1274	1152	1193	627	569	627	1537	1513	1581	869	993	1015	422	423	492	837	860	843
SSTP_0000128600.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	1491152;1492185;1492294;1492438;1492591	1492129;1492253;1492389;1492548;1492836	+;+;+;+;+	1500	715	874	796	1399	1476	1377	579	296	508	1560	1127	1279	947	1831	1030	1001	1471	844	194	233	222
SSTP_0000128700.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	1496732;1496947;1497601	1496895;1497537;1498681	+;+;+	1836	8377	8274	8093	5472	4984	5059	3769	3550	3546	5582	5620	6307	5593	4909	5311	2849	2862	2810	6289	6196	6389
SSTP_0000128800.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1498863;1499274	1499227;1499385	-;-	477	13	20	17	280	222	228	250	315	379	184	183	191	143	121	130	31	22	33	6	9	4
SSTP_0000128900.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	1500021;1500241;1501093	1500194;1501046;1501408	-;-;-	1296	38	26	38	97	102	87	118	136	168	306	294	299	211	216	266	56	58	65	7	4	7
SSTP_0000129000.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1502793;1502925	1502877;1503211	+;+	372	1	3	0	28	14	18	7	3	3	22	8	11	12	13	6	5	8	2	2	0	1
SSTP_0000129100.1	SSTP_scaffold0000001;SSTP_scaffold0000001	1503698;1503988	1503938;1504226	+;+	480	7	8	10	88	69	86	16	19	15	20	26	26	41	25	24	34	43	37	5	11	5
SSTP_0000129200.1	SSTP_scaffold0000001	1504236	1507796	-	3561	97	139	141	712	479	678	95	65	84	68	66	62	163	76	97	142	122	238	38	44	42
SSTP_0000129300.1	SSTP_scaffold0000001	1508380	1508805	-	426	28	17	15	6	10	22	23349	505	427	2	11	12	8	62	55	16	5	9	7	3	10
